ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000000001,-0.071145287020387,0.565211468291247,Not Significant
ENSMUSG00000000028,-0.119147686404598,0.655431069228827,Not Significant
ENSMUSG00000000031,0.403671335558031,0.0057721616004776,Significant
ENSMUSG00000000056,0.0107436208905756,0.953662176982876,Not Significant
ENSMUSG00000000058,0.264040070289875,0.15908950552068,Not Significant
ENSMUSG00000000078,0.185062948062022,0.39532637348336,Not Significant
ENSMUSG00000000085,-0.0579411496554386,0.579828014689322,Not Significant
ENSMUSG00000000088,-0.0769004031828816,0.415830987731632,Not Significant
ENSMUSG00000000093,-0.203056689085287,0.653098079671297,Not Significant
ENSMUSG00000000094,0.151553850565137,0.680880600453662,Not Significant
ENSMUSG00000000120,0.513603534376217,0.174607727045057,Not Significant
ENSMUSG00000000126,0.254946725746304,0.0637599823408091,Not Significant
ENSMUSG00000000127,0.055252739483478,0.70995369930874,Not Significant
ENSMUSG00000000131,0.15787448595955,0.123517205900782,Not Significant
ENSMUSG00000000134,-0.0019325762240635,0.994754638803776,Not Significant
ENSMUSG00000000142,0.151959029989417,0.371907457887929,Not Significant
ENSMUSG00000000148,0.323300694903537,0.0073931818971383,Significant
ENSMUSG00000000149,-0.195432165898312,0.0106420937592652,Significant
ENSMUSG00000000168,0.0070136571868747,0.976750892962089,Not Significant
ENSMUSG00000000171,-0.0111114468050202,0.953644003178121,Not Significant
ENSMUSG00000000183,-0.376647502006432,0.125872849598685,Not Significant
ENSMUSG00000000184,0.0515777952882824,0.895628239257346,Not Significant
ENSMUSG00000000194,0.0322220322544421,0.898520100712877,Not Significant
ENSMUSG00000000197,0.315682555894719,0.408721256160941,Not Significant
ENSMUSG00000000223,0.0514008529030754,0.884809315568342,Not Significant
ENSMUSG00000000244,0.318651758371195,0.751195774091361,Not Significant
ENSMUSG00000000253,0.241689202786215,0.083381772544018,Not Significant
ENSMUSG00000000266,-0.0425372029220376,0.899084940158771,Not Significant
ENSMUSG00000000275,-0.0389996809181006,0.894189880558082,Not Significant
ENSMUSG00000000276,0.227884281534675,0.176807791958176,Not Significant
ENSMUSG00000000278,-0.0159465010745296,0.962436312287799,Not Significant
ENSMUSG00000000282,0.0117813700686544,0.979130412801582,Not Significant
ENSMUSG00000000290,-0.146187008367233,0.745604820758118,Not Significant
ENSMUSG00000000295,0.0533300453368106,0.89377832259962,Not Significant
ENSMUSG00000000296,0.0747769103590445,0.661193781178136,Not Significant
ENSMUSG00000000301,0.252740299681162,0.652252013374178,Not Significant
ENSMUSG00000000305,1.10786839983241,0.0644151778600647,Not Significant
ENSMUSG00000000317,-0.157302237062722,0.698267533938338,Not Significant
ENSMUSG00000000318,0.330840463929663,0.425788897550198,Not Significant
ENSMUSG00000000320,-0.395682022499736,0.132848360383097,Not Significant
ENSMUSG00000000325,0.148177211099904,0.340087921908763,Not Significant
ENSMUSG00000000326,-0.0992177335016276,0.334244588434762,Not Significant
ENSMUSG00000000339,-0.021010861824351,0.911125169756596,Not Significant
ENSMUSG00000000340,-0.248265595341421,0.052970637806751,Not Significant
ENSMUSG00000000346,0.110547865326781,0.200640210148583,Not Significant
ENSMUSG00000000355,-0.105387985167377,0.489681214744656,Not Significant
ENSMUSG00000000359,0.38411208839289,0.0620522035410156,Not Significant
ENSMUSG00000000374,-0.0812362595529388,0.126706113053705,Not Significant
ENSMUSG00000000378,0.017938959077321,0.928351883153898,Not Significant
ENSMUSG00000000384,-0.102638720455974,0.498421842555913,Not Significant
