ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000003545,-2.23556402429389,3.37983617987033e-05,Down-regulated
ENSMUSG00000004035,-1.0983208883356,3.86223872502779e-16,Down-regulated
ENSMUSG00000006403,-1.36732255515724,2.38129335201342e-07,Down-regulated
ENSMUSG00000015599,-1.24571402769677,0.0267513876563477,Down-regulated
ENSMUSG00000020423,-1.41504377369841,1.88659649718971e-06,Down-regulated
ENSMUSG00000021250,-2.85532315865654,2.06056275916387e-05,Down-regulated
ENSMUSG00000022865,-1.18632077004098,0.0321054162451047,Down-regulated
ENSMUSG00000023067,-1.25334188555438,7.85160252681396e-05,Down-regulated
ENSMUSG00000023905,-1.1997683860298,0.0060117088211932,Down-regulated
ENSMUSG00000025221,-1.82345776159599,0.0001102565482296,Down-regulated
ENSMUSG00000025479,1.34781607051774,0.0359110201138498,Up-regulated
ENSMUSG00000025726,1.55519934920198,0.0048068956561637,Up-regulated
ENSMUSG00000025804,-1.09986932775236,0.0458016491661691,Down-regulated
ENSMUSG00000025900,-1.76751915339029,1.41072633299772e-16,Down-regulated
ENSMUSG00000026077,-1.25826168446621,0.000284540265681,Down-regulated
ENSMUSG00000026360,-1.22307393481806,1.21559475050667e-07,Down-regulated
ENSMUSG00000026628,-1.66853550198678,1.95161186077586e-05,Down-regulated
ENSMUSG00000026773,1.05539517353923,0.0027258039304786,Up-regulated
ENSMUSG00000026826,-1.81315675871511,2.20708340173567e-05,Down-regulated
ENSMUSG00000027514,-1.62857749607218,0.0179810719559786,Down-regulated
ENSMUSG00000027577,-2.30044703537024,1.71034642502927e-09,Down-regulated
ENSMUSG00000028444,-1.05838377459156,0.0028676305714637,Down-regulated
ENSMUSG00000028836,-1.16984038678368,1.00496216172958e-05,Down-regulated
ENSMUSG00000028957,1.59686352323295,2.1576424306681402e-19,Up-regulated
ENSMUSG00000029205,-1.67364318480049,5.61754167816692e-06,Down-regulated
ENSMUSG00000029671,-1.00248279902912,0.0311086132564264,Down-regulated
ENSMUSG00000030584,-1.78460415154272,0.0012649900609229,Down-regulated
ENSMUSG00000031762,-1.64233971106823,4.066843202426211e-09,Down-regulated
ENSMUSG00000031765,-1.31108166475301,8.12636462186715e-12,Down-regulated
ENSMUSG00000032841,1.08907229126155,0.0408869428417927,Up-regulated
ENSMUSG00000033318,1.04269166011902,4.95700634412022e-06,Up-regulated
ENSMUSG00000033849,-1.15951913861211,3.97502689726127e-07,Down-regulated
ENSMUSG00000034765,-1.02139815778402,0.0045871960413702,Down-regulated
ENSMUSG00000035105,-1.33139660752367,5.29997310777273e-29,Down-regulated
ENSMUSG00000035692,-1.30884594186674,0.0068412881506388,Down-regulated
ENSMUSG00000035963,-1.31163008024134,0.038512702542462,Down-regulated
ENSMUSG00000036949,-1.18036299747225,0.0477642598990753,Down-regulated
ENSMUSG00000037016,-1.01786412482061,0.0005219560688141,Down-regulated
ENSMUSG00000037738,1.02749366797775,0.0270521040193176,Up-regulated
ENSMUSG00000037868,-1.04657842902361,0.0115188631535381,Down-regulated
ENSMUSG00000037991,-1.04834222931798,0.0087278580839892,Down-regulated
