Gene	Mmus_C57-6J_TA_GC_Rep1_M33	Mmus_C57-6J_TA_GC_Rep2_M34	Mmus_C57-6J_TA_GC_Rep3_M35	Mmus_C57-6J_TA_GC_Rep4_M36	Mmus_C57-6J_TA_GC_Rep5_M37	Mmus_C57-6J_TA_GC_Rep6_M38	Mmus_C57-6J_TA_FLT_Rep1_M23	Mmus_C57-6J_TA_FLT_Rep2_M24	Mmus_C57-6J_TA_FLT_Rep3_M25	Mmus_C57-6J_TA_FLT_Rep4_M26	Mmus_C57-6J_TA_FLT_Rep5_M27	Mmus_C57-6J_TA_FLT_Rep6_M28
ENSMUSG00000020224	8.357722903	7.646600551	7.573098085	8.313172276	8.27645571	8.609262158	7.767645041	8.008979421	8.194900374	6.953516995	7.967128352	7.628885082
ENSMUSG00000020225	13.48428252	12.4924041	11.47164951	12.17824534	10.71515244	12.38552091	12.48150433	12.82915702	13.16718742	12.51747898	13.6272615	13.50068266
ENSMUSG00000020227	3.276110894	3.337256525	2.732206745	3.294597774	3.258525834	3.480667074	2.258717272	2.502339215	2.712406274	3.625639391	3.364289248	3.579588808
ENSMUSG00000020228	7.248593186	8.566219956	7.147163338	8.118830229	7.636545207	7.350038086	6.290945882	6.517286462	7.261695279	9.367602228	9.866061727	9.012568776
ENSMUSG00000020230	2.342340156	1.481242201	1.501809005	1.392359774	1.879149868	1.607820831	1.656392666	1.456585513	1.751047089	1.345259865	1.228532591	1.671686144
ENSMUSG00000020231	9.495973606	8.726836581	8.088055727	10.43289295	8.955948306	9.02853236	7.579251289	8.664816385	8.858238213	13.68227716	10.35747476	10.4480384
ENSMUSG00000020232	9.828332682	8.405603332	8.486125584	9.138586683	8.256264844	8.763506948	8.750438023	8.552771346	8.789569699	11.00816304	10.64098228	10.57523191
ENSMUSG00000020234	0.205746095	0.23200179	0.108564506	0.235328412	0.159927648	0.106010165	0.083656195	0.168067559	0.137337027	0.049216824	0.170104513	0.127193511
ENSMUSG00000020235	12.0757131	11.26100998	10.62122754	10.53094646	12.77422091	10.70702663	10.77491795	11.37257151	10.69512094	12.07452757	11.56710685	11.71997351
ENSMUSG00000020238	28.09225525	26.07343199	24.78889563	24.43493349	25.1486227	25.97249035	28.00809417	30.12144144	29.56179497	27.61063844	30.25970273	27.74635589
ENSMUSG00000020241	72.3751455	39.97569313	40.87453666	48.94830978	39.66205678	60.90283962	50.76257927	59.79470273	49.78467213	44.88574377	34.96592758	47.6430551
ENSMUSG00000020246	24.21473269	24.75280642	22.02050072	22.7484132	23.08955423	24.0113023	21.88446068	23.174649	21.61341455	20.76949986	22.85070618	23.43994702
ENSMUSG00000020248	19.98902444	19.64876702	18.34740158	17.45352392	16.91234881	16.307897	18.00281322	17.27361025	17.64780791	16.52044736	17.93657582	18.46122959
ENSMUSG00000020250	63.40145044	63.74695351	59.76476078	60.18524148	62.91153866	61.75092093	63.82967697	64.93010037	62.24800729	81.12573208	75.33739855	74.89880745
ENSMUSG00000020251	1.5351824	0.892314579	0.524728448	0.549099629	0.979556846	0.67139771	0.53539965	0.915034489	0.703852261	0.885902838	0.54811454	0.781331567
ENSMUSG00000020253	2.041634325	1.106470078	1.320868161	1.608077485	1.519312659	1.890514604	1.371961602	1.531282206	1.682378575	1.788211283	1.833348635	1.726197649
ENSMUSG00000020255	65.99179377	67.03852353	68.88273179	71.34333815	74.94229591	68.19439543	59.04169829	58.55062931	55.21085804	61.73938904	63.17530392	59.64448968
ENSMUSG00000020256	4.035788782	2.784021486	3.130276601	2.823940949	2.898688626	3.127299858	3.296054093	4.444453232	3.793935359	4.741220742	3.420990752	4.851523918
ENSMUSG00000020257	22.72703016	22.29001818	20.91676157	22.98374161	21.03048575	20.7249872	19.50862473	18.97296002	21.23573773	24.52638412	23.85243276	23.49445852
ENSMUSG00000020258	0.743851266	0.606773914	0.61519887	0.882481547	0.75965633	0.706734431	0.719443279	0.859011969	0.738186518	0.754657973	0.68041805	0.563285548
ENSMUSG00000020260	16.91865964	14.86596088	15.99517061	15.88466784	15.27309041	16.64359586	15.37600869	16.33990159	16.05126498	17.78367919	18.9572029	18.06147855
ENSMUSG00000020261	8.641335981	7.995138626	7.038598832	8.216883734	7.096789394	6.795958291	6.826345532	8.216636227	7.639372102	7.021600269	8.429623621	7.068325108
ENSMUSG00000020262	16.04819539	16.47212712	15.45234808	21.61099254	18.57159816	16.44924389	10.08893715	12.38097686	12.08565834	17.16026608	16.95374975	17.20746498
ENSMUSG00000020263	20.17894391	21.30847214	19.34257622	24.45454419	21.49027774	20.15959965	18.52148163	20.00003954	18.86667402	18.17741378	21.22526306	19.7149942
ENSMUSG00000020264	0.664718152	0.285540665	0.61519887	0.882481547	0.799638242	0.660089959	0.53539965	0.392157638	0.635183748	0.508573851	1.096229081	0.526944545
ENSMUSG00000020265	18.72289463	15.52627367	17.50584572	14.85922428	16.07272866	16.51991733	14.72349036	17.34830694	17.68008211	18.12442367	17.52076479	19.53328918
ENSMUSG00000020267	37.73066846	37.86983072	37.03859077	34.22067331	35.66386557	36.5381701	39.85381141	40.35488838	39.99940898	35.66579202	41.18419254	40.44753648
ENSMUSG00000020268	6.014116617	5.568042972	5.627260249	6.530363445	5.877341076	5.600870368	6.3411396	5.714297013	5.373311164	6.660676891	7.654703064	6.15980003
ENSMUSG00000020271	44.97926165	42.67048316	43.80577834	41.20208288	42.96056453	45.30167705	45.09068924	44.93006083	45.21821599	46.82160553	46.75984045	47.6612256
ENSMUSG00000020272	6.552221788	5.532350388	4.632085607	6.765691857	5.557485779	6.236931356	4.467240826	4.649869138	4.720960288	5.774774053	5.084234875	5.23310445
ENSMUSG00000020273	7.248593186	6.781590799	6.586246722	6.706859754	6.91687079	7.120349395	6.140364731	5.863690399	6.626511531	6.824732972	8.297320112	7.449905641
ENSMUSG00000020275	15.2885175	13.45610385	13.17249344	12.60968077	12.05454649	13.55163272	16.9654764	17.030846	15.55341826	17.34072777	18.44688936	16.64417943
ENSMUSG00000020277	6.852927619	5.603735555	6.133894612	6.020485218	7.21673513	6.731645458	7.74656368	7.936523629	9.939767297	8.530916215	7.711404568	7.595269654
ENSMUSG00000020279	0.063306491	0.017846292	0	0.078442804	0.019990956	0.070673443	0.033462478	0.018674173	0.10300277	0.098433649	0.037801003	0.036341003
ENSMUSG00000020280	11.83831376	11.63578211	11.16405008	11.3938173	10.67517053	10.4950063	10.6243368	10.71897544	10.3689455	11.15581351	11.75611187	10.99315345
ENSMUSG00000020282	14.08569418	11.35024144	10.38600445	14.17853685	13.33396768	14.24069879	11.24339264	11.76472914	13.09851891	14.45334074	14.21317705	12.7738626
ENSMUSG00000020283	16.8870064	17.40013429	15.5428185	17.17897411	16.79240307	16.66126422	15.39273993	17.06819435	16.36027329	17.52118946	19.42971543	18.02513755
ENSMUSG00000020284	2.358166779	2.105862406	2.135101959	2.490559032	1.659249351	2.084866572	1.857167534	2.464990868	2.197392425	2.001484189	2.003453148	2.053266677
ENSMUSG00000020286	0.094959736	0	0.018094084	0.039221402	0.079963824	0	0.033462478	0.05602252	0.017167128	0	0.037801003	0.054511505
ENSMUSG00000020287	2.089114193	2.26647903	2.008443369	1.980680805	2.358932813	1.961188047	1.890630013	2.745103467	2.592236376	2.181945878	1.455338607	2.253142194
ENSMUSG00000020288	19.0552537	15.49058109	15.47044216	16.41415677	16.47254778	16.20188684	18.00281322	15.68630553	15.74225667	18.65317642	20.99845705	16.97124846
ENSMUSG00000020289	10.95202289	9.922538116	9.843181914	11.2761531	11.11497156	11.13106729	9.302568911	10.27079528	10.91829361	10.54880601	11.73721137	12.30142956
ENSMUSG00000020290	37.55657561	34.42549645	33.94450234	36.18174341	37.16318728	39.57712815	32.25782889	31.59670113	34.84927049	36.55169486	48.19627855	39.68437542
ENSMUSG00000020297	0.158266227	0.071385166	0.036188169	0.058832103	0.019990956	0.053005082	0.100387434	0.074696693	0.017167128	0.082028041	0	0.054511505
ENSMUSG00000020300	214.0392451	190.7768569	174.2641269	221.5420896	181.3579532	201.3839762	188.8287639	179.7575916	190.3319517	180.3140387	209.738864	188.2827372
ENSMUSG00000020303	4.827119916	4.729267268	3.691193218	3.490704784	3.638353999	3.462998713	4.768403129	3.772182995	4.360450593	4.478731013	7.087688022	5.269445453
ENSMUSG00000020305	7.565125639	6.852975965	6.568152638	7.354012888	6.976843658	6.943665788	6.625570663	6.517286462	6.781015686	6.332564728	7.144389527	6.650403572
ENSMUSG00000020307	116.7208674	124.2457035	122.5512336	116.0757394	105.3723293	113.9254136	127.9938114	118.5810001	124.6845096	109.4746229	111.5318587	105.2072041
ENSMUSG00000020308	6.536395165	6.710205632	6.278647287	5.667492599	5.077702834	6.024911027	7.39520766	6.237173864	7.519202204	5.955235742	6.426170474	6.050777021
ENSMUSG00000020309	7.470165903	5.621581846	6.079612359	5.510606991	5.577476735	5.706880533	6.173827209	5.695622839	5.785322244	7.546579728	6.993185516	7.504417146
ENSMUSG00000020311	26.43045987	26.51958928	25.22315366	25.70962906	26.82786301	25.318761	26.68632628	28.04860821	24.72066478	26.77395243	27.68923454	26.60161429
ENSMUSG00000020312	1.883368098	1.231394119	1.230397739	1.941459403	1.559294571	1.8021728	1.40542408	2.12885575	2.35189658	1.886644932	2.060154652	1.817050156
ENSMUSG00000020315	340.462307	310.5433197	256.0855765	333.0093143	307.7007954	337.9074	252.5580534	284.7251195	271.58397	368.5519861	326.033649	320.1642376
ENSMUSG00000020319	2.611392742	2.052323531	1.718938018	1.941459403	2.059068472	2.173208376	2.543148335	2.315597482	2.35189658	2.017889797	2.135756657	2.216801191
ENSMUSG00000020321	308.4767026	330.5490126	340.2049749	346.7956371	363.1956893	396.725373	378.6112084	371.5226767	343.5485719	439.637486	424.2028533	370.4056744
ENSMUSG00000020323	0.015826623	0.017846292	0	0.019610701	0.119945736	0.017668361	0	0.018674173	0.051501385	0.016405608	0.018900501	0.036341003
ENSMUSG00000020325	0.775504511	0.481849873	0.45235211	0.725595938	0.459791989	0.583055906	0.418280976	0.410831811	0.669518004	0.738252365	0.623716546	0.508774044
ENSMUSG00000020326	611.5248736	598.903699	593.1059926	545.6089242	546.0529642	538.7259886	659.7462182	639.3850177	628.8147432	658.1601859	637.665116	650.2313985
ENSMUSG00000020328	5.792543899	4.711420976	5.102531801	5.392942785	5.337585263	4.982477741	4.182809762	4.239037326	5.544982447	4.987304864	4.74402585	4.633477899
ENSMUSG00000020329	20.17894391	20.5410816	18.51024834	21.21877852	21.27037723	19.39986014	18.85610641	19.49583687	19.67352905	22.82020087	21.24416357	20.31462075
ENSMUSG00000020330	0.110786359	0	0.036188169	0.098053505	0.059972868	0.035336722	0.150581151	0.186741732	0.120169898	0.098433649	0.056701504	0.163534514
ENSMUSG00000020331	0.490625303	0.588927622	0.416163941	0.431435423	0.519764857	0.44170902	0.368087259	0.448180158	0.635183748	0.574196284	0.396910529	0.545115047
ENSMUSG00000020333	25.40172939	24.96696191	25.47647084	23.49361984	25.62840564	26.32585757	23.08910989	21.64336679	24.51465924	26.24897297	23.81463176	25.36602018
ENSMUSG00000020334	1.756755117	1.606166242	1.375150414	3.098490764	2.618815241	2.632585757	0.953680626	1.475259686	1.236033239	1.607749594	1.398637103	1.435469624
ENSMUSG00000020335	1.98608288	2.012704764	2.10524672	1.93439955	1.415159778	1.867015684	1.859844533	1.643140504	1.629847163	1.783945825	2.200774382	1.912263585
ENSMUSG00000020340	21.90404578	4.925576475	6.839563904	9.079754579	11.57476355	11.96148025	16.46353922	18.0765997	20.01687162	13.37057061	8.202817605	10.17548088
ENSMUSG00000020346	26.31967351	24.25311025	23.72134465	22.41503128	23.14952709	24.20565427	23.00545369	24.78062789	28.15409044	24.95292993	24.72185582	25.07529216
ENSMUSG00000020349	97.76104827	95.62043026	94.23399156	100.6421177	100.1546898	105.5507873	104.9383313	107.0590352	108.5992537	123.0092496	130.5268626	118.2899652
ENSMUSG00000020354	49.93299454	45.82927677	40.74787807	49.41896661	44.06006711	43.26981556	48.47039952	47.24565831	47.74178386	56.40248066	58.3647483	53.29408109
ENSMUSG00000020357	8.609682736	7.921611905	6.803375735	8.942479672	8.656083965	8.887185474	7.947338548	8.888906464	7.570703589	9.679308782	8.335121114	8.285748713
ENSMUSG00000020358	74.51173956	66.65589904	66.09769032	70.0690348	68.00923245	69.43665788	70.90699109	67.7685747	73.02896387	66.63958012	82.50068858	69.50216848
ENSMUSG00000020359	15.25686426	18.2210637	16.936063	19.78719734	18.99140824	19.02882456	13.25114133	14.24839419	15.10707292	16.02827912	19.25961092	16.75320244
ENSMUSG00000020361	90.3858421	88.99945609	83.99273979	89.26791111	85.94112001	91.89314443	98.53026676	97.23642008	94.72821407	97.43290653	107.0713404	96.33999929
ENSMUSG00000020362	24.56291839	20.16630948	17.37032103	22.74684435	21.45029583	22.33280803	22.08523554	22.16624364	23.38162877	25.75680472	27.065518	26.00198774
ENSMUSG00000020363	6.425608806	6.90651484	4.143545328	5.608660496	6.15721446	5.86589578	4.818596846	6.013083785	4.480620491	6.381781553	6.65297649	4.469943385
ENSMUSG00000020364	5.056764211	4.875963784	5.548550982	4.360635482	5.621656748	4.634941084	4.297251437	4.164527375	4.962330112	4.679863768	4.75461013	5.501301053
ENSMUSG00000020366	47.6697875	44.54434377	42.32206341	43.39848139	39.62207487	42.33339243	46.42918836	47.00289406	46.60875339	45.44353445	47.02444747	47.46135008
ENSMUSG00000020368	104.5506694	99.61799958	97.70805577	112.7223096	108.7907828	111.9644023	97.94467339	99.9441752	103.1401069	104.6513741	119.7913778	108.3870418
ENSMUSG00000020372	114.6005748	113.6451848	110.2291622	107.8196343	105.3923202	109.0491227	128.0776349	121.587542	129.6289859	111.0331557	137.6712521	119.5255593
ENSMUSG00000020374	0.316532454	0.124924041	0.343787604	0.156885608	0.259882429	0.176683608	0.217506108	0.186741732	0.291841181	0.360923378	0.26460702	0.381580533
ENSMUSG00000020375	16.57047394	18.98845424	17.09890976	17.39469182	17.01230359	18.30442177	16.1121832	17.40432946	17.52763801	15.81500621	17.6152673	17.51636351
ENSMUSG00000020376	30.18136944	28.67899056	24.98793056	26.5921106	25.84830616	28.18103545	28.86138736	29.00099105	28.87510983	27.49579918	29.48478217	29.27267802
ENSMUSG00000020377	0.221572717	0.124924041	0.054282253	0.254939113	0.139936692	0.22968869	0.066924956	0.186741732	0.051501385	0.164056081	0.170104513	0.199875517
ENSMUSG00000020380	7.897484715	8.691143997	7.40048052	8.177662332	9.655631767	8.12744596	6.926732966	7.563040164	8.429060005	7.431740471	8.032713092	6.468698557
