ENSEMBL,GC_mean,FLT_mean,log2FC
ENSMUSG00000025498,3.26123226394017,4.71859441238219,1.4573621484420203
ENSMUSG00000120121,3.234480500111484,4.15466163042087,0.9201811303093863
ENSMUSG00000025496,7.191890340891295,8.03601682446322,0.8441264835719249
ENSMUSG00000059434,3.560202820508783,4.277401038842414,0.717198218333631
ENSMUSG00000047632,2.966142489806534,3.6460773458631146,0.6799348560565805
ENSMUSG00000120493,2.0380385376300154,2.697876890834369,0.6598383532043535
ENSMUSG00000037112,6.482840859093118,7.064242889333347,0.5814020302402287
ENSMUSG00000114014,1.743236235168047,2.2972345724720125,0.5539983373039654
ENSMUSG00000062563,2.8910262511367253,3.435416115479274,0.5443898643425489
ENSMUSG00000039543,2.1006385260394316,2.639617980382511,0.5389794543430795
ENSMUSG00000109372,1.8255012698743927,2.358307049478424,0.5328057796040313
ENSMUSG00000025324,2.011446073081094,2.540430829374072,0.5289847562929779
ENSMUSG00000115756,3.919784224478482,4.442090494614862,0.5223062701363803
ENSMUSG00000073374,2.5437720835776885,3.064576891901634,0.5208048083239456
ENSMUSG00000049744,1.6602370315555703,2.1796052108062405,0.5193681792506701
ENSMUSG00000018102,7.0677216950012856,7.583398513722751,0.5156768187214658
ENSMUSG00000065219,1.851170219584021,2.356579568618333,0.5054093490343119
ENSMUSG00000066175,2.0779232499477964,2.5243220416084844,0.44639879166068797
ENSMUSG00000085105,3.212589839887557,3.6520283545014913,0.43943851461393413
ENSMUSG00000090110,1.828376158339581,2.2563967268178016,0.42802056847822056
ENSMUSG00000020901,2.6318225754947324,3.0473769665446717,0.4155543910499393
ENSMUSG00000078773,3.1653336957798652,3.5079758000149512,0.342642104235086
ENSMUSG00000087088,2.1770554723328157,2.4911650912157803,0.3141096188829646
ENSMUSG00000034401,3.1786174933177214,3.33475615530927,0.15613866199154858
ENSMUSG00000117310,5.504287264834996,5.595465736721559,0.09117847188656292
ENSMUSG00000028782,5.363628962077795,5.083502875906918,-0.28012608617087675
ENSMUSG00000068696,2.469401731735963,2.1514208372642982,-0.31798089447166467
ENSMUSG00000044320,2.2668981367643095,1.9111060272831535,-0.355792109481156
ENSMUSG00000030522,4.556703371803908,4.191618809821668,-0.3650845619822407
ENSMUSG00000042686,2.2542160064771206,1.8480082401024385,-0.40620776637468214
ENSMUSG00000024042,4.2102083625842806,3.8024916879098862,-0.4077166746743943
ENSMUSG00000038777,4.116453912865427,3.686863351255404,-0.4295905616100226
ENSMUSG00000113940,2.837839646145568,2.3801483585720153,-0.4576912875735526
ENSMUSG00000045690,3.078345066742862,2.6155814829972837,-0.46276358374557836
ENSMUSG00000038214,2.7918952123408127,2.305394864938613,-0.48650034740219983
ENSMUSG00000083397,3.8029890266538318,3.313714487011997,-0.48927453964183476
ENSMUSG00000022912,3.462528382425036,2.970815135328813,-0.4917132470962229
ENSMUSG00000025076,3.866732073958029,3.3540995051509155,-0.5126325688071134
ENSMUSG00000067149,3.415792576643588,2.8993897673012214,-0.5164028093423667
ENSMUSG00000115018,2.2484353144977196,1.7055407627288082,-0.5428945517689114
ENSMUSG00000062908,6.2394385785921616,5.691558762035321,-0.5478798165568408
ENSMUSG00000018752,4.939873176940325,4.36964144583851,-0.5702317311018152
ENSMUSG00000026141,3.148119521369421,2.5247948794742388,-0.6233246418951821
ENSMUSG00000056055,11.689717036547394,11.0474171596513,-0.6422998768960948
ENSMUSG00000028341,2.415015897373341,1.7431168911493866,-0.6718990062239543
ENSMUSG00000007682,4.893080592265655,4.220803822018889,-0.672276770246766
ENSMUSG00000006204,6.894681717880763,6.2149462386180385,-0.6797354792627246
ENSMUSG00000029276,6.203711602360937,5.506999640182882,-0.6967119621780551
ENSMUSG00000036480,2.947957520549868,2.162423919705851,-0.7855336008440168
ENSMUSG00000037428,5.926721726605146,5.095764874129463,-0.8309568524756834
ENSMUSG00000024227,8.448520529262783,7.611384108763996,-0.837136420498787
