ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000000001,0.1728949947638,0.974833561410296,Not Significant
ENSMUSG00000000028,-0.366062509388319,0.950406558312642,Not Significant
ENSMUSG00000000031,2.00276068084527,0.822834085460843,Not Significant
ENSMUSG00000000037,0.82654356886587,0.962070256408211,Not Significant
ENSMUSG00000000049,-0.147363242565182,0.996391171959555,Not Significant
ENSMUSG00000000056,0.0035871328133467,0.999165782506867,Not Significant
ENSMUSG00000000058,-0.234759824635034,0.573154477272347,Not Significant
ENSMUSG00000000078,-0.106305497823736,0.996203996527593,Not Significant
ENSMUSG00000000085,-0.120820760336688,0.968351050508348,Not Significant
ENSMUSG00000000088,0.0261150253164901,0.996203996527593,Not Significant
ENSMUSG00000000093,-0.0026386197666924,0.999769455289618,Not Significant
ENSMUSG00000000120,-0.195516350837897,0.996203996527593,Not Significant
ENSMUSG00000000126,-0.220020415410786,0.981532666697605,Not Significant
ENSMUSG00000000127,-0.0449399097095946,0.996203996527593,Not Significant
ENSMUSG00000000131,0.271669422627913,0.853101526392028,Not Significant
ENSMUSG00000000134,0.123966522712402,0.996203996527593,Not Significant
ENSMUSG00000000142,1.12057638913663,0.608235415570538,Not Significant
ENSMUSG00000000148,-0.141509085624691,0.993359741270889,Not Significant
ENSMUSG00000000149,-0.0368980132797223,0.996203996527593,Not Significant
ENSMUSG00000000154,-0.209103795466831,0.996203996527593,Not Significant
ENSMUSG00000000167,1.31766974729046,0.697005985175082,Not Significant
ENSMUSG00000000168,-0.0389304705627171,0.996203996527593,Not Significant
ENSMUSG00000000171,-0.12285701722103,0.96997051175575,Not Significant
ENSMUSG00000000183,0.237697246026887,0.996203996527593,Not Significant
ENSMUSG00000000184,0.138908942531434,0.968351050508348,Not Significant
ENSMUSG00000000194,0.0486236304616513,0.996203996527593,Not Significant
ENSMUSG00000000197,0.124351776843745,0.996203996527593,Not Significant
ENSMUSG00000000204,0.534045657274696,0.996203996527593,Not Significant
ENSMUSG00000000214,1.54219495744495,0.974833561410296,Not Significant
ENSMUSG00000000223,-0.646758638792661,0.972237504793796,Not Significant
ENSMUSG00000000244,0.461222971926168,0.996203996527593,Not Significant
ENSMUSG00000000253,0.0433552595123028,0.996203996527593,Not Significant
ENSMUSG00000000266,-0.0398750074360733,0.996203996527593,Not Significant
ENSMUSG00000000275,-0.0639988103535031,0.996203996527593,Not Significant
ENSMUSG00000000276,-0.164452234533442,0.966296532565959,Not Significant
ENSMUSG00000000278,-0.0898766909916144,0.996203996527593,Not Significant
ENSMUSG00000000282,-0.331453529076103,0.97271487879296,Not Significant
ENSMUSG00000000290,0.0750186657186017,0.996203996527593,Not Significant
ENSMUSG00000000295,0.220993951420015,0.995670023028618,Not Significant
ENSMUSG00000000296,0.185621252936371,0.996203996527593,Not Significant
ENSMUSG00000000301,0.327233209901596,0.996203996527593,Not Significant
ENSMUSG00000000305,1.07896107167874,0.773116525878557,Not Significant
ENSMUSG00000000308,0.102233624642953,0.996203996527593,Not Significant
ENSMUSG00000000317,-0.297803291069497,0.97271487879296,Not Significant
ENSMUSG00000000318,-0.605359374203274,0.962108170842761,Not Significant
ENSMUSG00000000320,0.573174704878438,0.948457370765564,Not Significant
ENSMUSG00000000326,-0.209567095606676,0.821777293091007,Not Significant
ENSMUSG00000000339,-0.141732161631033,0.984382921173601,Not Significant
ENSMUSG00000000340,0.118122804177939,0.974833561410296,Not Significant
ENSMUSG00000000346,0.0113173771561486,0.997986989863737,Not Significant
ENSMUSG00000000355,0.148090179542132,0.98079225797,Not Significant
ENSMUSG00000000359,-0.0809901827352937,0.996203996527593,Not Significant
ENSMUSG00000000374,0.0501449866192478,0.996203996527593,Not Significant
ENSMUSG00000000378,-0.0437038196444117,0.996203996527593,Not Significant
ENSMUSG00000000384,-0.218429624659465,0.74228930275736,Not Significant
ENSMUSG00000000386,-1.42916333107671,0.974833561410296,Not Significant
ENSMUSG00000000392,-0.238205191349883,0.975678818548723,Not Significant
ENSMUSG00000000399,-0.0272277011962285,0.996203996527593,Not Significant
ENSMUSG00000000409,-1.39401635350628,0.993406409093874,Not Significant
ENSMUSG00000000416,0.0546654082887006,0.997986989863737,Not Significant
ENSMUSG00000000420,0.016908524354276,0.997672775953938,Not Significant
ENSMUSG00000000439,0.242065015593195,0.962108170842761,Not Significant
