Gene	RR3_HRT_FLT_F1	RR3_HRT_FLT_F2	RR3_HRT_FLT_F9	RR3_HRT_GC_G7	RR3_HRT_GC_G8
ENSMUSG00000092258	0.024728721	0	0.008044379	0	0.233783935
ENSMUSG00000092260	2.559422604	2.35241009	2.735089003	3.366563491	2.454731321
ENSMUSG00000092274	98.6598065	51.87755352	65.3053179	46.24368915	51.97075328
ENSMUSG00000092283	0	0.05316181	0.008044379	0	0.175337951
ENSMUSG00000092286	0.049457442	0.013290452	0.201109486	0.157583823	0.233783935
ENSMUSG00000092335	0.185465406	0.451875385	0.41026335	0.401122459	0.438344879
ENSMUSG00000092341	1750.373045	772.9461357	1137.032809	887.1109686	1122.279781
ENSMUSG00000092353	0.024728721	0.05316181	0.024133138	0.014325802	0
ENSMUSG00000092368	1.259681038	0.824008054	1.36730317	1.160389969	0.526013854
ENSMUSG00000092381	0	0.05316181	0.072399415	0.100280615	0
ENSMUSG00000092384	0.111279244	0.05316181	0.064355035	0.028651604	0
ENSMUSG00000092397	36.20420735	16.20983328	32.05717377	28.02384753	37.83880662
ENSMUSG00000092412	0.042657043	0	0.169495074	0.040971794	0
ENSMUSG00000092416	3.828253269	3.535260361	4.408319922	3.323586085	4.149664852
ENSMUSG00000092417	4.14700648	4.027007103	4.486028628	4.598582471	4.692628041
ENSMUSG00000092454	0.086921454	0.121873449	0.138363326	0.144260827	0.176799101
ENSMUSG00000092470	0.332724939	0.13011353	0.042796099	0	0
ENSMUSG00000092490	0.091619911	0.048908865	0	0.01375277	0
ENSMUSG00000092534	0.341998209	0.092368645	0.061539503	0.136238378	0.881073206
ENSMUSG00000092539	0.358566452	0.332261312	0.313730797	0.257864438	0
ENSMUSG00000092558	9.093987079	7.86967563	7.893064643	8.384318931	10.02933082
ENSMUSG00000092564	0.494574416	0.491746742	0.732038527	0.845222323	0.438344879
ENSMUSG00000092569	9.359820828	7.615429274	6.588346745	6.188746503	5.201692561
ENSMUSG00000092572	0.049457442	0.039871357	0.016088759	0.100280615	0.379898895
ENSMUSG00000092592	0.168155302	0.052896001	0.102646281	0	0
ENSMUSG00000092593	0.061821802	0.026580905	0.040221897	0.07162901	0
ENSMUSG00000092595	1.407311502	0.434597796	1.150989807	2.031971768	1.960862757
ENSMUSG00000092596	0.037093081	0.05316181	0.056310656	0	0
ENSMUSG00000092607	12.97021407	10.39313384	12.51705438	11.71850611	13.50102226
ENSMUSG00000092626	0.247287208	0.10632362	0.096532553	0.286516042	0.116891968
ENSMUSG00000092702	0.01236436	0.05316181	0.032177518	0.07162901	0
ENSMUSG00000092746	17.67732607	12.48292459	9.357383029	16.58139963	11.06528589
ENSMUSG00000092805	1.549501646	0.90494691	1.805641405	1.406077475	0.93805804
ENSMUSG00000092819	0.160242111	0.039339739	0.056149768	0.100280615	0.029222992
ENSMUSG00000092837	233.8184631	238.8994719	232.785597	307.1788624	171.3624557
ENSMUSG00000093044	0.049457442	0.079742715	0.14479883	0.014325802	0.116891968
ENSMUSG00000093355	0.221940269	0.119481168	0.079961131	0.085525038	0.058445984
ENSMUSG00000093402	0.679050674	0.545307265	0.483788978	0.317459774	0.561373675
ENSMUSG00000093424	0.247287208	0.225937692	0.233287003	0.186235427	0.584459838
ENSMUSG00000093445	7.454101959	9.480345567	5.191762034	7.203729581	11.01005443
ENSMUSG00000093456	0.070847785	0.072432966	0	0.01518535	0
ENSMUSG00000093465	0.01236436	0.05316181	0.040221897	0	0
ENSMUSG00000093482	2.448143361	1.741049276	2.678778347	1.776399459	3.302198086
ENSMUSG00000093483	1.075699355	0.677813077	0.884881736	0.88819973	0.847466765
ENSMUSG00000093485	2.918730918	1.591797494	1.295547306	2.098586748	2.971393818
ENSMUSG00000093507	0.024728721	0.10632362	0.016088759	0.028651604	0
ENSMUSG00000093536	0.024728721	0.013290452	0.024133138	0.07162901	0
ENSMUSG00000093537	0.210194127	0.013290452	0.128710071	0.057303208	0.175337951
ENSMUSG00000093553	0.403325436	0.555009296	0.63542553	0.416307809	0.772363676
ENSMUSG00000093559	0.111279244	0.039871357	0.048266277	0.014325802	0
ENSMUSG00000093565	0.519303137	0.42529448	0.41026335	0.257864438	0.61368283
ENSMUSG00000093575	0.337670683	0.056218614	0.057275981	0.132800185	0.199300805
ENSMUSG00000093577	0.72146043	0.880359573	1.280262985	0.966848383	0.893346863
ENSMUSG00000093579	0.049457442	0	0.064355035	0.057303208	0
ENSMUSG00000093587	0.148372325	0.10632362	0.168931968	0.028651604	0
ENSMUSG00000093593	3.063023004	2.616358476	2.314287515	2.679784539	1.478391161
ENSMUSG00000093594	0.229977104	0.329736126	0.407689149	0.259297018	0.321452911
ENSMUSG00000093606	0.173101046	0.398713575	0.353952694	0.458425667	0.642905822
ENSMUSG00000093629	0.086550523	0	0.040221897	0.028651604	0.175337951
ENSMUSG00000093656	0.506938777	0.31897086	0.201109486	0.085954813	0.116891968
ENSMUSG00000093661	37.00084309	39.96239706	34.12232685	30.68472201	44.99668626
ENSMUSG00000093668	0.074186162	0.026580905	0.048266277	0.042977406	0
ENSMUSG00000093672	0.123643604	0.066452262	0.41026335	0.057303208	0.204560943
ENSMUSG00000093674	192.3580425	153.0584328	192.6958691	190.85865	181.0995566
ENSMUSG00000093677	1.063334995	1.395497511	0.892926116	0.859548125	0.584459838
ENSMUSG00000093697	0.272015929	0.26580905	0.345908315	0.229212833	0.087668976
ENSMUSG00000093726	0	0.013290452	0.040221897	0.014325802	0.14611496
ENSMUSG00000093752	63.43807123	71.17050597	58.24508786	66.14122544	69.05129982
ENSMUSG00000093771	0.01236436	0.079742715	0.032177518	0	0.116891968
ENSMUSG00000093798	0.835212545	0.863347793	0.783522556	0.966848383	0.718593371
ENSMUSG00000093803	7.307337	6.126898596	6.330926604	7.922168556	7.627200889
ENSMUSG00000093805	0.167289796	0.03787779	0.080443794	0.053435242	0
ENSMUSG00000093858	0.086550523	0.026580905	0.048266277	0.014325802	0.175337951
ENSMUSG00000093880	0.801334198	0.381435986	0.398518556	1.188182025	0.773240366
ENSMUSG00000093904	47.37194496	37.8431015	47.49256811	48.8612997	48.02360376
ENSMUSG00000093908	0.173101046	0.132904525	0.016088759	0.014325802	0
ENSMUSG00000093910	0.061821802	0.10632362	0.064355035	0	0
ENSMUSG00000093930	32.76555508	29.1459623	37.2132992	32.27603211	44.8280696
ENSMUSG00000093938	0.748414735	0.697482946	0.634057986	1.321268727	2.199614601
ENSMUSG00000093962	1.545545051	2.060020135	1.986961717	2.750554001	2.045609434
ENSMUSG00000093979	0.013971727	0.048510152	0.101359181	0.029081378	0
ENSMUSG00000093989	23.96349055	21.70862509	21.72923636	21.00019328	18.86198013
ENSMUSG00000094006	0.037093081	0.10632362	0.040221897	0.07162901	0
ENSMUSG00000094076	0.133040518	0.059142514	0	0.033952151	0.25424003
ENSMUSG00000094090	0.02744888	0.135296806	0.034832163	0.029224636	0.061368283
ENSMUSG00000094091	0.086550523	0.199356787	0	0.028651604	0
ENSMUSG00000094103	8.549707934	14.78097673	13.98153365	4.613338047	1.224151131
ENSMUSG00000094108	0.035362071	0	0	0	0.442436098
ENSMUSG00000094117	0.024728721	0	0.024133138	0.07162901	0
ENSMUSG00000094242	0.113504829	0	0.081730895	0	0.148452799
ENSMUSG00000094248	0	0.294915141	0.133375811	0	0
ENSMUSG00000094257	0	0.016081448	0.128710071	0	0
ENSMUSG00000094259	0.029303534	0.078812383	0.036119264	0.005730321	0
ENSMUSG00000094306	0.776852764	0.366417775	0.114391075	0.005157289	0.00029223
ENSMUSG00000094338	0.842878449	0.557401577	0.391680834	0.397684266	1.666002769
ENSMUSG00000094347	0.098914883	0	0.032177518	0.014325802	0
ENSMUSG00000094365	0.237643007	0.070572303	0.054219117	0	0
ENSMUSG00000094388	0.129083923	0.292788668	0.21985289	0.10644071	0.091760195
ENSMUSG00000094410	32.58998116	33.69913842	28.05903675	26.77277524	33.64238498
ENSMUSG00000094421	0	0	0.012629676	0	0.263006927
ENSMUSG00000094433	0.01236436	0.132904525	0	0	0
ENSMUSG00000094437	0.257178696	0.550357637	0.294746062	0.132513669	0.416135405
ENSMUSG00000094439	0	0.025384764	0.080202463	0	0
ENSMUSG00000094441	11.40068216	12.83871001	13.44400822	11.5700908	14.28712075
ENSMUSG00000094463	0	0.043061066	0.034832163	0.014898834	0.059614904
ENSMUSG00000094475	0.028685316	0	0.001367545	0	0.227354877
ENSMUSG00000094483	43.91820817	51.62011745	48.15365521	44.30970586	62.42031073
ENSMUSG00000094497	16.4144303	13.77130106	15.11868713	17.15815642	16.89118156
ENSMUSG00000094530	0.030663614	0.05316181	0.019306511	0.028651604	0.029222992
ENSMUSG00000094568	0.019041115	0.07548977	0.037406364	0.07019643	0.053770305
ENSMUSG00000094574	0.029303534	0.078812383	0.036119264	0.005730321	0
ENSMUSG00000094595	0.630582381	0.26580905	0.297642039	0.372470854	0.555236846
