ENSEMBL,log2FoldChange,pvalue,padj,significance
ENSMUSG00000000435,0.020607133585777468,0.8075309887596269,1.0,Not Significant
ENSMUSG00000000439,0.07020459703271253,0.1989349565953314,1.0,Not Significant
ENSMUSG00000000440,-0.10029614338834847,0.522427090288949,1.0,Not Significant
ENSMUSG00000000441,0.004714766548179483,0.9668609864318242,1.0,Not Significant
ENSMUSG00000000486,-0.027414837790883162,0.938155192189684,1.0,Not Significant
ENSMUSG00000000489,0.38442050934555727,0.5005233607203906,1.0,Not Significant
ENSMUSG00000000530,0.22021903114671026,0.647665583243177,1.0,Not Significant
ENSMUSG00000000531,0.10738450780895192,0.7704833554011867,1.0,Not Significant
ENSMUSG00000000532,0.2257375549761802,0.4060865032092227,1.0,Not Significant
ENSMUSG00000000538,0.15352123616043478,0.6198511556853559,1.0,Not Significant
ENSMUSG00000000544,-0.02031167716466481,0.15040018532928964,1.0,Not Significant
ENSMUSG00000000552,0.1166914192148818,0.6185695054991842,1.0,Not Significant
ENSMUSG00000000555,0.03931099395493476,0.928626627061637,1.0,Not Significant
ENSMUSG00000000560,-0.043721364995943486,0.32858274937986554,1.0,Not Significant
ENSMUSG00000000561,-0.042427514234960384,0.6311877093956079,1.0,Not Significant
ENSMUSG00000000562,0.0498659588333763,0.5748563303185392,1.0,Not Significant
ENSMUSG00000000563,-0.05713432477197422,0.8112674758797844,1.0,Not Significant
ENSMUSG00000000567,0.12791921095765713,0.294538524165942,1.0,Not Significant
ENSMUSG00000000568,0.03156191503779482,0.8688593190939342,1.0,Not Significant
ENSMUSG00000000579,0.20684796355034996,0.17133610402584387,1.0,Not Significant
ENSMUSG00000000581,-0.06322292928305018,0.7230147886732567,1.0,Not Significant
ENSMUSG00000000594,-0.16168508155950612,0.3547861279833969,1.0,Not Significant
ENSMUSG00000000600,-0.10522404621632564,0.5528632870124497,1.0,Not Significant
ENSMUSG00000000605,-0.04767301381852462,0.35027305740573256,1.0,Not Significant
ENSMUSG00000000617,-0.04320269896237402,0.09941688736587694,1.0,Not Significant
ENSMUSG00000000627,0.11290126033913506,0.7378534903069891,1.0,Not Significant
ENSMUSG00000000628,0.01916875415504471,0.9186751776702511,1.0,Not Significant
ENSMUSG00000000631,0.29705642275910904,0.5209245513131615,1.0,Not Significant
ENSMUSG00000000632,0.002377594898227104,0.8063936146028422,1.0,Not Significant
ENSMUSG00000000673,-0.004261834796071451,0.9846430371423074,1.0,Not Significant
ENSMUSG00000000682,-0.3574297021825297,0.25731167263191274,1.0,Not Significant
ENSMUSG00000000686,-0.10146379741174494,0.6355993864098651,1.0,Not Significant
ENSMUSG00000000690,0.048687909203012136,0.7115302562469276,1.0,Not Significant
ENSMUSG00000000693,0.1467213638036413,0.588350166539735,1.0,Not Significant
ENSMUSG00000000706,0.0058922189382526035,0.5019960402785377,1.0,Not Significant
ENSMUSG00000000708,0.0411624410767546,0.7165616354183908,1.0,Not Significant
ENSMUSG00000000711,0.06481048479237295,0.551516100070893,1.0,Not Significant
ENSMUSG00000000730,0.13015479381624137,0.20836141126394353,1.0,Not Significant
ENSMUSG00000000731,-0.0025298375542867763,0.9565672773160439,1.0,Not Significant
ENSMUSG00000000732,0.0066907398822504405,0.976506528495802,1.0,Not Significant
ENSMUSG00000000738,0.1158561808207077,0.6583849059402719,1.0,Not Significant
ENSMUSG00000000739,0.1369771701405047,0.5844391350520477,1.0,Not Significant
ENSMUSG00000000740,0.020913812791315323,0.9551979194626302,1.0,Not Significant
ENSMUSG00000000743,0.17689258336580505,0.660404567547229,1.0,Not Significant
ENSMUSG00000000751,-0.01462388986924168,0.8652952050321479,1.0,Not Significant
ENSMUSG00000000753,-0.09764716247471394,0.7465146573123631,1.0,Not Significant
ENSMUSG00000000759,0.1349709362812357,0.09811497583784813,1.0,Not Significant
ENSMUSG00000000776,-0.006020925946098821,0.9728930654589178,1.0,Not Significant
ENSMUSG00000000782,0.055631311280019524,0.8272423934583301,1.0,Not Significant
ENSMUSG00000000787,0.006123115184626826,0.9614684288431707,1.0,Not Significant
ENSMUSG00000000791,-0.14590744118397614,0.2983989330524518,1.0,Not Significant
ENSMUSG00000000792,-0.010824612675047418,0.9040176241145812,1.0,Not Significant
ENSMUSG00000000794,-0.13344013970071167,0.3321787162503481,1.0,Not Significant
ENSMUSG00000000804,-0.039847631735660194,0.7549028369329132,1.0,Not Significant
