ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000000001,-0.0323785782958769,0.888060419831742,Not Significant
ENSMUSG00000000028,0.227140016354231,0.472147355282874,Not Significant
ENSMUSG00000000031,-0.0342334733673878,0.973848387826653,Not Significant
ENSMUSG00000000056,0.0850133691191752,0.642384725734737,Not Significant
ENSMUSG00000000058,-0.183773138789387,0.561784974022752,Not Significant
ENSMUSG00000000078,0.367825811161321,0.0041553819110695,Significant
ENSMUSG00000000085,0.0710235983847474,0.573609540799331,Not Significant
ENSMUSG00000000088,-0.050996804528558,0.888182755801856,Not Significant
ENSMUSG00000000093,-0.0264990461774701,0.960197610345514,Not Significant
ENSMUSG00000000094,0.149410894030869,0.781371189997418,Not Significant
ENSMUSG00000000120,0.837019643421259,0.011945054269414,Significant
ENSMUSG00000000126,0.0787854596701795,0.737670498730638,Not Significant
ENSMUSG00000000127,0.0179458133281755,0.932050536240393,Not Significant
ENSMUSG00000000131,-0.20367674875069,0.275618817579967,Not Significant
ENSMUSG00000000134,-0.0679128039056316,0.787497767220649,Not Significant
ENSMUSG00000000142,0.0958434716555891,0.795943256542096,Not Significant
ENSMUSG00000000148,0.0309253440169399,0.891339491794849,Not Significant
ENSMUSG00000000149,-0.166884265006809,0.250911876594643,Not Significant
ENSMUSG00000000168,0.0120730104638229,0.976471221243691,Not Significant
ENSMUSG00000000171,0.0471274495488503,0.856153149649983,Not Significant
ENSMUSG00000000183,-0.0727693745611576,0.909990531231487,Not Significant
ENSMUSG00000000184,0.044590321660321,0.940109830810563,Not Significant
ENSMUSG00000000194,-0.0678013054010321,0.756983774878608,Not Significant
ENSMUSG00000000197,-0.205026320967901,0.81426934800445,Not Significant
ENSMUSG00000000223,-0.356744261037958,0.434120610806211,Not Significant
ENSMUSG00000000244,0.311544451548865,0.725026514645216,Not Significant
ENSMUSG00000000253,0.371120153285932,0.0040325028654629,Significant
ENSMUSG00000000266,-0.0801097414790237,0.86985572205236,Not Significant
ENSMUSG00000000275,-0.127198848531039,0.551594468563747,Not Significant
ENSMUSG00000000276,-0.0358431664225948,0.904610820235679,Not Significant
ENSMUSG00000000278,-0.0467553586239305,0.902025497887443,Not Significant
ENSMUSG00000000282,0.111468376524281,0.828866579215867,Not Significant
ENSMUSG00000000290,-0.0272605292757785,0.961389522764438,Not Significant
