ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000000682,-0.180401396585068,0.757667982589787,Not Significant
ENSMUSG00000000686,0.236205114411234,0.794178805439684,Not Significant
ENSMUSG00000000693,-0.126867253613416,0.741110124358332,Not Significant
ENSMUSG00000000708,0.060196521135608,0.776099327530395,Not Significant
ENSMUSG00000000711,0.0295101881099748,0.851976883680334,Not Significant
ENSMUSG00000000724,0.188102436725827,0.742816950910692,Not Significant
ENSMUSG00000000732,0.0915361958355323,0.724706234330444,Not Significant
ENSMUSG00000000738,0.148274604917996,0.207895704021239,Not Significant
ENSMUSG00000000739,0.237314677151586,0.883814107676702,Not Significant
ENSMUSG00000000740,0.202413574797734,0.131623916047174,Not Significant
ENSMUSG00000000743,0.0381166590905053,0.853100822879351,Not Significant
ENSMUSG00000000751,0.0395898565038262,0.923730230488422,Not Significant
ENSMUSG00000000753,0.0835733291640579,0.943267964335524,Not Significant
ENSMUSG00000000759,-0.0266673817961424,0.934951917936984,Not Significant
ENSMUSG00000000766,-0.300933350239762,0.594048414071809,Not Significant
ENSMUSG00000000776,0.102905857514913,0.642388290332717,Not Significant
ENSMUSG00000000782,0.0028289504477934,0.99671448670131,Not Significant
ENSMUSG00000000787,0.0001973850528378,0.998710407479383,Not Significant
ENSMUSG00000000792,0.051954507136321,0.893609885139813,Not Significant
ENSMUSG00000000794,0.235850784611398,0.254047700640543,Not Significant
ENSMUSG00000000804,-0.0609514050399558,0.702739268004535,Not Significant
ENSMUSG00000000805,0.316032014404756,0.727490557560555,Not Significant
ENSMUSG00000000811,0.0325422492524962,0.908591226751627,Not Significant
ENSMUSG00000000823,-0.032860172685881,0.952104448958804,Not Significant
ENSMUSG00000000826,-0.0291705126688269,0.899277659176246,Not Significant
ENSMUSG00000000827,-0.0617680535628518,0.631350775951837,Not Significant
ENSMUSG00000000838,-0.0472265862209645,0.83867343634923,Not Significant
ENSMUSG00000000861,0.15790487320619,0.809966394223155,Not Significant
ENSMUSG00000000876,0.691585280500463,0.458622364557258,Not Significant
ENSMUSG00000000881,0.0369846210035213,0.845340081557635,Not Significant
ENSMUSG00000000884,-0.143851013169757,0.768826960167652,Not Significant
ENSMUSG00000000901,-0.108499012594299,0.917324915605855,Not Significant
ENSMUSG00000000902,-0.0007142353933466,0.997227791264407,Not Significant
ENSMUSG00000000915,0.0680256083294496,0.81407721752908,Not Significant
ENSMUSG00000000916,0.0168563816389272,0.979171885887958,Not Significant
ENSMUSG00000000934,-0.0720908884618909,0.814287707750998,Not Significant
ENSMUSG00000000948,-0.28676753094874,0.332403646448401,Not Significant
ENSMUSG00000000957,-0.206076268666513,0.360055193602071,Not Significant
ENSMUSG00000000958,-0.073125276999414,0.938584098590003,Not Significant
ENSMUSG00000000959,0.0047699503769378,0.987663270250124,Not Significant
ENSMUSG00000000976,-0.0259935848264559,0.927029752271037,Not Significant
ENSMUSG00000000983,-0.629290074524147,0.672526198871697,Not Significant
ENSMUSG00000001016,-0.0739126464215064,0.550377261604847,Not Significant
ENSMUSG00000001017,-0.0039744159351556,0.981770856529632,Not Significant
ENSMUSG00000001018,0.0758082224648325,0.577402852157987,Not Significant
ENSMUSG00000001020,0.120355357963279,0.829099030065565,Not Significant
ENSMUSG00000001025,0.007178574139779,0.989996647580987,Not Significant
ENSMUSG00000001027,0.607188044313872,0.31043853998781,Not Significant
ENSMUSG00000001029,0.286657739574865,0.516157482368099,Not Significant
ENSMUSG00000001034,0.0609714113201108,0.872369752327075,Not Significant
