ENSEMBL,log2FoldChange,padj,significance
ENSMUSG00000003545,-2.84650992327808,3.35905390133288e-14,Down-regulated
ENSMUSG00000006784,-1.81830469956433,0.0039081760730187,Down-regulated
ENSMUSG00000009114,-2.39159682124538,0.0062927474711517,Down-regulated
ENSMUSG00000014846,-1.36939667936026,3.11362041029005e-05,Down-regulated
ENSMUSG00000015112,-1.17078462361323,0.0177836580976148,Down-regulated
ENSMUSG00000020641,-1.19776415080283,0.0045467926953795,Down-regulated
ENSMUSG00000021250,-2.07107134157101,0.0022559797967591,Down-regulated
ENSMUSG00000023067,-1.02544537820953,0.0011381211900641,Down-regulated
ENSMUSG00000023968,-1.9668333972325,0.0006776436845953,Down-regulated
ENSMUSG00000024803,1.37226869845932,0.0290559063753027,Up-regulated
ENSMUSG00000026077,-1.4373792492228,0.0004593801467128,Down-regulated
ENSMUSG00000026360,-1.37256058759436,0.0006776436845953,Down-regulated
ENSMUSG00000028957,1.1654629850999,3.91915773623438e-07,Up-regulated
ENSMUSG00000029205,-1.95118248145831,0.048917285252614,Down-regulated
ENSMUSG00000030433,-1.49916323294299,0.0064538504303872,Down-regulated
ENSMUSG00000031762,-1.37482873225507,9.53437087546083e-06,Down-regulated
ENSMUSG00000031765,-1.14754496668124,9.42190557418772e-07,Down-regulated
ENSMUSG00000035105,-1.45587070723175,0.0024476246815402,Down-regulated
ENSMUSG00000035692,-1.11928450876055,0.0010970962926555,Down-regulated
ENSMUSG00000035963,-1.32022032552545,0.0010018075306352,Down-regulated
ENSMUSG00000037568,-1.20160393289255,0.0456893103951614,Down-regulated
ENSMUSG00000037738,1.26160763511594,0.001528943303063,Up-regulated
ENSMUSG00000038010,-1.10918534843515,0.0162516465936503,Down-regulated
ENSMUSG00000038216,-1.17205240105326,0.0057288223561186,Down-regulated
ENSMUSG00000038550,1.73468380818191,8.19963991312596e-09,Up-regulated
ENSMUSG00000039985,-1.28676009282478,0.0024881275049551,Down-regulated
ENSMUSG00000040441,-1.06523836424204,0.0048087843021691,Down-regulated
ENSMUSG00000041649,-1.40781155987882,0.0428145428666422,Down-regulated
ENSMUSG00000041653,-1.01338638983273,0.0461641433736946,Down-regulated
ENSMUSG00000041798,1.22958078735356,0.0499870189797681,Up-regulated
ENSMUSG00000043155,-1.35686026538495,0.0191168522925399,Down-regulated
ENSMUSG00000046828,-1.51592606818778,1.908139344221e-12,Down-regulated
ENSMUSG00000053963,1.12049547162452,0.0406826546748049,Up-regulated
ENSMUSG00000055866,1.48008914732524,2.17943450411132e-05,Up-regulated
ENSMUSG00000056749,-1.06416582262419,1.0749811971039799e-11,Down-regulated
ENSMUSG00000059824,2.18039716555475,1.13981457061886e-09,Up-regulated
ENSMUSG00000060716,-1.18170379935422,0.0458919363440315,Down-regulated
ENSMUSG00000062329,-1.05851720446653,0.00404926698786,Down-regulated
ENSMUSG00000067780,-1.16044317945986,0.003034109731787,Down-regulated
ENSMUSG00000070547,-1.16483331481028,0.0005469311541043,Down-regulated
ENSMUSG00000070960,1.09793670529659,0.0466681212226745,Up-regulated
ENSMUSG00000073491,-2.00872691223942,0.0175043169146159,Down-regulated
ENSMUSG00000074646,-1.47784691283252,0.0006236535778514,Down-regulated
ENSMUSG00000076431,-1.08840475763475,6.655774088692031e-09,Down-regulated
ENSMUSG00000079620,1.18971851426551,0.0036670963662449,Up-regulated
ENSMUSG00000083786,-1.4842185052181,0.0032330855549242,Down-regulated
ENSMUSG00000085272,-2.85809994562524,0.0468251813661438,Down-regulated
ENSMUSG00000087233,-1.09250858775089,0.015947840352882,Down-regulated
ENSMUSG00000087614,1.26288191397965,0.009463595201965,Up-regulated
ENSMUSG00000096740,1.46203740205158,0.003358718666774,Up-regulated
ENSMUSG00000097731,-1.10278398451553,0.0277855644809365,Down-regulated
ENSMUSG00000098103,-1.2602309658159,0.0239344688922644,Down-regulated
ENSMUSG00000101122,1.06106389181701,0.0218876443385576,Up-regulated
ENSMUSG00000101365,-1.69981459385774,0.00166122669507,Down-regulated
ENSMUSG00000102148,-1.5063493132353,0.0045017650810081,Down-regulated
ENSMUSG00000102380,-1.14709671699278,0.0392991398603225,Down-regulated
ENSMUSG00000102676,-1.37587516199766,0.0431368162114957,Down-regulated
ENSMUSG00000105568,-1.10267647794673,0.0015523952664177,Down-regulated
ENSMUSG00000105822,-1.3195608230051,0.0011185113242009,Down-regulated
ENSMUSG00000106296,-1.91432342790221,0.0122750847099894,Down-regulated
ENSMUSG00000108353,-1.19094170833546,0.0035625790614431,Down-regulated
ENSMUSG00000108985,-1.36752136070155,0.001355621894631,Down-regulated
ENSMUSG00000109873,-1.64962210363501,0.0075120855330768,Down-regulated
ENSMUSG00000110580,-1.20908417495773,3.75573195264424e-07,Down-regulated
ENSMUSG00000110588,-1.70458082979316,0.0185979582871674,Down-regulated
ENSMUSG00000111827,-1.5625643633817,0.0122354992923706,Down-regulated
ENSMUSG00000112739,-1.14767529092518,0.0015523952664177,Down-regulated
ENSMUSG00000113940,-1.15489697231539,0.0234691890652859,Down-regulated
ENSMUSG00000114431,-1.08789476820611,1.86696350154961e-06,Down-regulated
